model,param,window,lag,PACF
PIN,mu,150,1,0.9884117501849252
PIN,mu,150,2,0.09323034401016234
PIN,mu,150,3,0.047210563387308786
PIN,mu,150,4,0.004589904517464419
PIN,mu,150,5,0.035700478789926916
HPIN,mu,150,1,0.9868451242118699
HPIN,mu,150,2,0.14472880775114622
HPIN,mu,150,3,0.029284589370190316
HPIN,mu,150,4,0.0055053770884603585
HPIN,mu,150,5,0.03287186563771825
PIN,pin,180,1,0.976825063017858
PIN,pin,180,2,0.18482757828833443
PIN,pin,180,3,0.03987834980604855
PIN,pin,180,4,0.04131680797593765
PIN,pin,180,5,0.04975057506192437
HPIN,pin,180,1,0.9727584846754137
HPIN,pin,180,2,0.2308549713120968
HPIN,pin,180,3,0.07724131676566735
HPIN,pin,180,4,0.029137953089963777
HPIN,pin,180,5,-0.0015892296676423539
PIN,alpha,180,1,0.977310741047818
PIN,alpha,180,2,0.1888362669188776
PIN,alpha,180,3,0.03642035402008881
PIN,alpha,180,4,0.030125510187534146
PIN,alpha,180,5,0.05154327912713521
HPIN,alpha,180,1,0.9746787433706668
HPIN,alpha,180,2,0.21455873690921476
HPIN,alpha,180,3,0.0666752162200561
HPIN,alpha,180,4,0.021983891027092955
HPIN,alpha,180,5,-0.013377507225735774
PIN,delta,180,1,0.9352652746735887
PIN,delta,180,2,0.2322997218927371
PIN,delta,180,3,0.11876495429958686
PIN,delta,180,4,0.06309436138510285
PIN,delta,180,5,0.09985689987094468
HPIN,delta,180,1,0.9270807143738146
HPIN,delta,180,2,0.13103052886239527
HPIN,delta,180,3,0.12176641992368067
HPIN,delta,180,4,0.05939802797544354
HPIN,delta,180,5,0.021807638121766292
PIN,epsilon_b,180,1,0.946955206046612
PIN,epsilon_b,180,2,0.2380594646756781
PIN,epsilon_b,180,3,0.11041596771631447
PIN,epsilon_b,180,4,0.06292612526442129
PIN,epsilon_b,180,5,0.10112824892115997
HPIN,epsilon_b,180,1,0.9538235672014791
HPIN,epsilon_b,180,2,0.12255919329248294
